match,bowlingTeam,bowlerName,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb,match_id
England Vs Pakistan,England,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,T20I # 1879
England Vs Pakistan,England,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,T20I # 1879
England Vs Pakistan,England,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,T20I # 1879
England Vs Pakistan,England,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,T20I # 1879
England Vs Pakistan,England,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,T20I # 1879
England Vs Pakistan,England,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,T20I # 1879
England Vs Pakistan,Pakistan,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,T20I # 1879
England Vs Pakistan,Pakistan,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,T20I # 1879
England Vs Pakistan,Pakistan,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,T20I # 1879
England Vs Pakistan,Pakistan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,T20I # 1879
England Vs Pakistan,Pakistan,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,T20I # 1879
England Vs Pakistan,Pakistan,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,T20I # 1879
England Vs India,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,T20I # 1878
England Vs India,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,T20I # 1878
England Vs India,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,T20I # 1878
England Vs India,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,T20I # 1878
England Vs India,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,T20I # 1878
England Vs India,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,T20I # 1878
England Vs India,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,T20I # 1878
England Vs India,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,T20I # 1878
England Vs India,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,T20I # 1878
England Vs India,India,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0,T20I # 1878
England Vs India,India,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0,T20I # 1878
England Vs India,India,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,T20I # 1878
New Zealand Vs Pakistan,New Zealand,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,T20I # 1877
New Zealand Vs Pakistan,Pakistan,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,T20I # 1877
India Vs Zimbabwe,India,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1,T20I # 1873
India Vs Zimbabwe,India,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0,T20I # 1873
India Vs Zimbabwe,India,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0,T20I # 1873
India Vs Zimbabwe,India,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0,T20I # 1873
India Vs Zimbabwe,India,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0,T20I # 1873
India Vs Zimbabwe,India,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0,T20I # 1873
