name,team,playerImageUrl,battingStyle,bowlingStyle,playingRole
Ibrahim Zadran,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383225.1.png",Right hand Bat,Right arm Medium fast,Opening Batter
Gulbadin Naib,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381925.2.png",Right hand Bat,Right arm Medium fast,Batting Allrounder
Mohammad Nabi (c),Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381920.2.png",Right hand Bat,Right arm Offbreak,Allrounder
Najibullah Zadran,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381935.2.png",Left hand Bat,Right arm Offbreak,Middle order Batter
Darwish Rasooli,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/375400/375448.1.png",Right hand Bat,Right arm Offbreak,Top order Batter
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383228.1.png",Right hand Bat,Legbreak Googly,Bowling Allrounder
Naveen-ul-Haq,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383238.1.png",Right hand Bat,Right arm Medium fast,Bowler
Fazalhaq Farooqi,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383236.1.png",Right hand Bat,Left arm Fast medium,Bowler
Mujeeb Ur Rahman,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383240.1.png",Right hand Bat,Right arm Offbreak,Bowler
Mohammad Nabi,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381920.2.png",Right hand Bat,Right arm Offbreak,Allrounder
Josh Hazlewood,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390976.5.png",Left hand Bat,Right arm Fast medium,Bowler
Paul Stirling,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382100/382118.3.png",Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie (c),Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316637.1.png",Right hand Bat,Right arm Offbreak,Batter
Lorcan Tucker †,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339164.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Harry Tector,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319873.1.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Gareth Delany,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319872.1.png",Right hand Bat,Legbreak Googly,Batting Allrounder
George Dockrell,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316659.1.png",Right hand Bat,Slow Left arm Orthodox,Allrounder
Curtis Campher,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321300/321343.1.png",Right hand Bat,Right arm Medium fast,Allrounder
Fionn Hand,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348603.1.png",Right hand Bat,Right arm Medium,Bowling Allrounder
Mark Adair,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319892.1.png",Right hand Bat,Right arm Fast medium,Bowling Allrounder
Barry McCarthy,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319870.1.png",Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/367800/367860.1.png",Right hand Bat,Left arm Fast medium,Bowler
Tristan Stubbs,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348577.1.png",Right hand Bat,Right arm Offbreak,Batter
Tabraiz Shamsi,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322068.1.png",Right hand Bat,Left arm Wrist spin,Bowler
Dinesh Karthik †,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319934.2.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Yasir Ali,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391400/391445.2.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Shoriful Islam,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323175.1.png",Left hand Bat,Left arm Fast medium,Bowler
Hasan Mahmud,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323172.1.png",Right hand Bat,Right arm Fast medium,Bowler
Milton Shumba,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392000/392030.2.png",Left hand Bat,Slow Left arm Orthodox,Top order Batter
Luke Jongwe,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348593.3.png",Right hand Bat,Right arm Fast medium,Allrounder
Dawid Malan,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323003.1.png",Left hand Bat,Legbreak,Top order Batter
Azmatullah Omarzai,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383229.1.png",Right hand Bat,Right arm Medium fast,Allrounder
Pramod Madushan,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/355400/355401.1.png",Right hand Bat,Right arm Medium fast,Bowler
Fareed Ahmad,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381900/381923.2.png",Left hand Bat,Left arm Fast medium,Bowler
Aaron Finch (c),Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316533.1.png",Right hand Bat,Slow Left arm Orthodox,Top order Batter
Tim David,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/340300/340305.1.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade †,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316594.1.png",Left hand Bat,Right arm Medium,Wicketkeeper Batter
Mitchell Starc,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390900/390978.5.png",Left hand Bat,Left arm Fast,Bowler
Deepak Hooda,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/345000/345083.1.png",Right hand Bat,Right arm Offbreak,Allrounder
Tim Pringle,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392160.2.png",Right hand Bat,Slow Left arm Orthodox,Allrounder
Fakhar Zaman,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382000/382031.6.png",Left hand Bat,Slow Left arm Orthodox,Opening Batter
Brad Evans,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348596.1.png",Right hand Bat,Right arm Fast,Allrounder
Haider Ali,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322204.1.png",Right hand Bat,N/A,Middle order Batter
Vikramjit Singh,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368038.1.png",Left hand Bat,Right arm Medium,Opening Batter
Shariz Ahmad,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368045.1.png",Left hand Bat,Legbreak Googly,Bowler
