match,bowlingTeam,bowlerName,bowlerNameUrl,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb
India Vs Zimbabwe,Zimbabwe,Bhuvneshwar Kumar,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,3,1,11,1,3.66,14,1,0,1,0
India Vs Zimbabwe,Zimbabwe,Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,2,0,9,1,4.50,9,1,0,2,0
India Vs Zimbabwe,Zimbabwe,Mohammed Shami,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,2,0,14,2,7.00,7,1,1,0,0
India Vs Zimbabwe,Zimbabwe,Hardik Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,3,0,16,2,5.33,10,1,0,2,1
India Vs Zimbabwe,Zimbabwe,Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,4,0,22,3,5.50,13,3,0,1,0
India Vs Zimbabwe,Zimbabwe,Axar Patel,https://www.espncricinfo.com/cricketers/axar-patel-554691,3.2,0,40,1,12.00,4,5,1,0,0
Bangladesh Vs Pakistan,Bangladesh,Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,4,0,22,4,5.50,13,2,1,0,0
Bangladesh Vs Pakistan,Bangladesh,Naseem Shah,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,3,0,15,0,5.00,9,2,0,0,0
Bangladesh Vs Pakistan,Bangladesh,Mohammad Wasim,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,2,0,19,0,9.50,5,1,1,1,0
Bangladesh Vs Pakistan,Bangladesh,Haris Rauf,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,4,0,21,1,5.25,11,2,0,0,0
Bangladesh Vs Pakistan,Bangladesh,Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,4,0,30,2,7.50,8,3,0,0,0
Bangladesh Vs Pakistan,Bangladesh,Iftikhar Ahmed,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,3,0,15,1,5.00,9,2,0,0,0
Bangladesh Vs Pakistan,Pakistan,Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,3,0,26,0,8.66,10,1,2,0,1
Bangladesh Vs Pakistan,Pakistan,Nasum Ahmed,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,4,0,14,1,3.50,13,0,0,2,0
Bangladesh Vs Pakistan,Pakistan,Shakib Al Hasan,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,4,0,35,1,8.75,6,5,0,0,0
Bangladesh Vs Pakistan,Pakistan,Mustafizur Rahman,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,4,0,21,1,5.25,8,0,0,0,0
Bangladesh Vs Pakistan,Pakistan,Ebadot Hossain,https://www.espncricinfo.com/cricketers/ebadot-hossain-932355,3.1,0,25,1,7.89,7,1,1,0,1
Netherlands Vs South Africa,Netherlands,Wayne Parnell,https://www.espncricinfo.com/cricketers/wayne-parnell-265564,4,0,32,0,8.00,10,2,2,1,0
Netherlands Vs South Africa,Netherlands,Kagiso Rabada,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,3,0,37,0,12.33,6,7,0,0,0
Netherlands Vs South Africa,Netherlands,Lungi Ngidi,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,3,0,35,0,11.66,3,5,0,0,0
Netherlands Vs South Africa,Netherlands,Anrich Nortje,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,4,0,10,1,2.50,14,0,0,0,0
Netherlands Vs South Africa,Netherlands,Keshav Maharaj,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,4,0,27,2,6.75,12,1,2,0,0
